instructions_id,enabled,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address,abi_pair
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc011a73e_0x57ab1ec2,FALSE,,,,,,./abis/balancer_pool.json,SNX,sUSD,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,SNXsUSD./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0xc011a73e_0x57ab1ec2,FALSE,,,,,,./abis/balancer_pool.json,SNX,sUSD,0xec577a919fca1b682f584a50b1048331ef0f30dd,SNXsUSD./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x59651fb8102cd999168cd7593625b767d9e50a25+0x8201aa3f:0xc011a73e_0x57ab1ec2,FALSE,,,,,,./abis/balancer_pool.json,SNX,sUSD,0x59651fb8102cd999168cd7593625b767d9e50a25,SNXsUSD./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0xc011a73e_0x5e74c903,FALSE,,,,,,./abis/balancer_pool.json,SNX,sETH,0xec577a919fca1b682f584a50b1048331ef0f30dd,SNXsETH./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0xc011a73e_0x6b175474,FALSE,,,,,,./abis/balancer_pool.json,SNX,DAI,0xec577a919fca1b682f584a50b1048331ef0f30dd,SNXDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc011a73e_0x6b175474,FALSE,,,,,,./abis/balancer_pool.json,SNX,DAI,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,SNXDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x59651fb8102cd999168cd7593625b767d9e50a25+0x8201aa3f:0xc011a73e_0x6b175474,FALSE,,,,,,./abis/balancer_pool.json,SNX,DAI,0x59651fb8102cd999168cd7593625b767d9e50a25,SNXDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc011a73e_0xa0b86991,FALSE,,,,,,./abis/balancer_pool.json,SNX,USDC,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,SNXUSDC./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0xc011a73e_0xa0b86991,FALSE,,,,,,./abis/balancer_pool.json,SNX,USDC,0xec577a919fca1b682f584a50b1048331ef0f30dd,SNXUSDC./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc011a73e_0xc02aaa39,FALSE,,,,,,./abis/balancer_pool.json,SNX,WETH,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,SNXWETH./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x59651fb8102cd999168cd7593625b767d9e50a25+0x8201aa3f:0xc011a73e_0xc02aaa39,FALSE,,,,,,./abis/balancer_pool.json,SNX,WETH,0x59651fb8102cd999168cd7593625b767d9e50a25,SNXWETH./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0xc011a73e_0xc02aaa39,FALSE,,,,,,./abis/balancer_pool.json,SNX,WETH,0xec577a919fca1b682f584a50b1048331ef0f30dd,SNXWETH./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xd6f0d319b2cce75123bf63e2c2bd8ba1f7d6b37a+0x8201aa3f:0xc011a73e_0xc02aaa39,FALSE,,,,,,./abis/balancer_pool.json,SNX,WETH,0xd6f0d319b2cce75123bf63e2c2bd8ba1f7d6b37a,SNXWETH./abis/balancer_pool.json
0xb944d13b2f4047fc7bd3f7013bcf01b115fb260d+0x95b68fe7-0xb944d13b2f4047fc7bd3f7013bcf01b115fb260d+0x95e3c50b:0x57ab1ec2_0xeeeeeeee,TRUE,,,,,,./abis/uniswap_v1.json,sUSD,ETH,0xb944d13b2f4047fc7bd3f7013bcf01b115fb260d,sUSDETH./abis/uniswap_v1.json
0x3377790759732282873957d06202d6525816e362+0xc8b3505b-0xa5407eae9ba41422680e2e00537571bcc53efbfd+0xa6417ed6:0x57ab1ec2_0x6b175474,TRUE,,,,,,./abis/curve.json,sUSD,DAI,0xa5407eae9ba41422680e2e00537571bcc53efbfd,sUSDDAI./abis/curve.json
0x3377790759732282873957d06202d6525816e362+0x7d5a4621-0xa5407eae9ba41422680e2e00537571bcc53efbfd+0xa6417ed6:0x57ab1ec2_0xa0b86991,TRUE,,,,,,./abis/curve.json,sUSD,USDC,0xa5407eae9ba41422680e2e00537571bcc53efbfd,sUSDUSDC./abis/curve.json
0x3377790759732282873957d06202d6525816e362+0xda234b57-0xa5407eae9ba41422680e2e00537571bcc53efbfd+0xa6417ed6:0x57ab1ec2_0xdac17f95,TRUE,,,,,,./abis/curve.json,sUSD,USDT,0xa5407eae9ba41422680e2e00537571bcc53efbfd,sUSDUSDT./abis/curve.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x5470d48cbbb8d7729208717f7bbf8a961cfb7cbb+0x8201aa3f:0x57ab1e02_0x6b175474,FALSE,,,,,,./abis/balancer_pool.json,sUSD,DAI,0x5470d48cbbb8d7729208717f7bbf8a961cfb7cbb,sUSDDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x5470d48cbbb8d7729208717f7bbf8a961cfb7cbb+0x8201aa3f:0x57ab1e02_0xa0b86991,FALSE,,,,,,./abis/balancer_pool.json,sUSD,USDC,0x5470d48cbbb8d7729208717f7bbf8a961cfb7cbb,sUSDUSDC./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x57ab1ec2_0x5e74c903,FALSE,,,,,,./abis/balancer_pool.json,sUSD,sETH,0xec577a919fca1b682f584a50b1048331ef0f30dd,sUSDsETH./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x57ab1ec2_0x6b175474,FALSE,,,,,,./abis/balancer_pool.json,sUSD,DAI,0xec577a919fca1b682f584a50b1048331ef0f30dd,sUSDDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x59651fb8102cd999168cd7593625b767d9e50a25+0x8201aa3f:0x57ab1ec2_0x6b175474,FALSE,,,,,,./abis/balancer_pool.json,sUSD,DAI,0x59651fb8102cd999168cd7593625b767d9e50a25,sUSDDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x57ab1ec2_0xa0b86991,FALSE,,,,,,./abis/balancer_pool.json,sUSD,USDC,0xec577a919fca1b682f584a50b1048331ef0f30dd,sUSDUSDC./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x57ab1ec2_0xc011a73e,FALSE,,,,,,./abis/balancer_pool.json,sUSD,SNX,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,sUSDSNX./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x59651fb8102cd999168cd7593625b767d9e50a25+0x8201aa3f:0x57ab1ec2_0xc011a73e,FALSE,,,,,,./abis/balancer_pool.json,sUSD,SNX,0x59651fb8102cd999168cd7593625b767d9e50a25,sUSDSNX./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x57ab1ec2_0xc011a73e,FALSE,,,,,,./abis/balancer_pool.json,sUSD,SNX,0xec577a919fca1b682f584a50b1048331ef0f30dd,sUSDSNX./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xec577a919fca1b682f584a50b1048331ef0f30dd+0x8201aa3f:0x57ab1ec2_0xc02aaa39,FALSE,,,,,,./abis/balancer_pool.json,sUSD,WETH,0xec577a919fca1b682f584a50b1048331ef0f30dd,sUSDWETH./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0x59651fb8102cd999168cd7593625b767d9e50a25+0x8201aa3f:0x57ab1ec2_0xc02aaa39,FALSE,,,,,,./abis/balancer_pool.json,sUSD,WETH,0x59651fb8102cd999168cd7593625b767d9e50a25,sUSDWETH./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xeba4dd6771c3e8ba3f168e47d052819abcc87cb2+0x8201aa3f:0x57ab1ec2_0x6b175474,TRUE,,,,,,./abis/balancer_pool.json,sUSD,DAI,0xeba4dd6771c3e8ba3f168e47d052819abcc87cb2,sUSDDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x57ab1ec2_0x6b175474,TRUE,,,,,,./abis/balancer_pool.json,sUSD,DAI,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,sUSDDAI./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xeba4dd6771c3e8ba3f168e47d052819abcc87cb2+0x8201aa3f:0x57ab1ec2_0xa0b86991,TRUE,,,,,,./abis/balancer_pool.json,sUSD,USDC,0xeba4dd6771c3e8ba3f168e47d052819abcc87cb2,sUSDUSDC./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x57ab1ec2_0xa0b86991,TRUE,,,,,,./abis/balancer_pool.json,sUSD,USDC,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,sUSDUSDC./abis/balancer_pool.json
0x330cd40f2354d01b4a40cd1c9ab754375cd38e25+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0x57ab1ec2_0xc02aaa39,TRUE,,,,,,./abis/balancer_pool.json,sUSD,WETH,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,sUSDWETH./abis/balancer_pool.json
0xd24d398494592dd131faf131032b0db540010df7+0x7f2b0c09-0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6+0x8201aa3f:0x57ab1ec2_0x00000000,TRUE,,,,,,./abis/balancer_pool.json,sUSD,TUSD,0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6,sUSDTUSD./abis/balancer_pool.json
0xd24d398494592dd131faf131032b0db540010df7+0x7f2b0c09-0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6+0x8201aa3f:0x57ab1ec2_0x6b175474,TRUE,,,,,,./abis/balancer_pool.json,sUSD,DAI,0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6,sUSDDAI./abis/balancer_pool.json
0xd24d398494592dd131faf131032b0db540010df7+0x7f2b0c09-0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6+0x8201aa3f:0x57ab1ec2_0x9cb2f26a,TRUE,,,,,,./abis/balancer_pool.json,sUSD,DZAR,0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6,sUSDDZAR./abis/balancer_pool.json
0xd24d398494592dd131faf131032b0db540010df7+0x7f2b0c09-0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6+0x8201aa3f:0x57ab1ec2_0xa0b86991,TRUE,,,,,,./abis/balancer_pool.json,sUSD,USDC,0xbc68fa58930a2f36d37d16f2f7cfebdd2b7902c6,sUSDUSDC./abis/balancer_pool.json
