instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,query_contract_address,contract_address,,no
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x53b89ce35928dda346c574d9105a5479cb87231c+0x8201aa3f:0xc02aaa39_0x6b175474,FALSE,FALSE,,,,,,./abis/balancer_pool.json,WETH,DAI,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x53b89ce35928dda346c574d9105a5479cb87231c,,765
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xc02aaa39_0x6b175474,FALSE,FALSE,,,,,,./abis/balancer_pool.json,WETH,DAI,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce,,766
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x6b175474,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,DAI,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,767
0x121835e15703a1a7bab32626d0927d60f90a81d7+0x7f2b0c09-0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f+0x38ed1739:0xc02aaa39_0x6b175474,FALSE,FALSE,,,,,,./abis/sushiswap_router.json,WETH,DAI,0x121835e15703a1a7bab32626d0927d60f90a81d7,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,,768
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x10d9b57f769fbb355cdc2f3c076a65a288ddc78e+0x8201aa3f:0xc02aaa39_0x38e4adb4,TRUE,FALSE,,,,,,./abis/balancer_pool.json,WETH,CVP,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x10d9b57f769fbb355cdc2f3c076a65a288ddc78e,,769
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x38e4adb4,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,CVP,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,770
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0xd533a949,TRUE,FALSE,126,126,14,0,0,./abis/uniswap_v2_router.json,WETH,CRV,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,771
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x63b642819845f3edacedd4cf614a4ac0a7950cb0+0x8201aa3f:0xc02aaa39_0xd533a949,FALSE,FALSE,,,,,,./abis/balancer_pool.json,WETH,CRV,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x63b642819845f3edacedd4cf614a4ac0a7950cb0,,772
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x0f9ddf273502db48466d60f140d586e883b4afae+0x8201aa3f:0xc02aaa39_0xd533a949,FALSE,FALSE,,,,,,./abis/balancer_pool.json,WETH,CRV,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x0f9ddf273502db48466d60f140d586e883b4afae,,773
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x9bd9523ec4affad7df1ce01a47abf75be180cbeb+0x8201aa3f:0xc02aaa39_0xd533a949,FALSE,FALSE,,,,,,./abis/balancer_pool.json,WETH,CRV,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x9bd9523ec4affad7df1ce01a47abf75be180cbeb,,774
0x121835e15703a1a7bab32626d0927d60f90a81d7+0x7f2b0c09-0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f+0x38ed1739:0xc02aaa39_0xd533a949,FALSE,FALSE,,,,,,./abis/sushiswap_router.json,WETH,CRV,0x121835e15703a1a7bab32626d0927d60f90a81d7,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,,775
