instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xa5da8cc7167070b62fdcb332ef097a55a68d8824+0x8201aa3f:0xe2f2a5c2_0xa3bed4e1,true,false,,,,,,./abis/balancer_pool.json,mUSD,MTA,0xa5da8cc7167070b62fdcb332ef097a55a68d8824
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x60626db611a9957c1ae4ac5b7ede69e24a3b76c5+0x8201aa3f:0x0bc529c0_0x6b175474,true,false,,,,,,./abis/balancer_pool.json,YFI,DAI,0x60626db611a9957c1ae4ac5b7ede69e24a3b76c5
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xb1f9ec02480dd9e16053b010dfc6e6c4b72ecad5+0x8201aa3f:0x04fa0d23_0xc02aaa39,true,false,,,,,,./abis/balancer_pool.json,UMA,WETH,0xb1f9ec02480dd9e16053b010dfc6e6c4b72ecad5
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce+0x8201aa3f:0xa0b86991_0x57ab1ec2,true,false,,,,,,./abis/balancer_pool.json,USDC,sUSD,0xc0b2b0c5376cb2e6f73b473a7caa341542f707ce
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0x51491077_0xeeeeeeee,true,false,,,,,,./abis/uniswap_v2_router.json,LINK,WETH,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0x0e2298e3_0xeeeeeeee,true,false,,,,,,./abis/uniswap_v2_router.json,YAM,ETH,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0xb4efd85c_0xeeeeeeee,true,false,,,,,,./abis/uniswap_v2_router.json,RPL,WETH,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0x0d8775f6_0xeeeeeeee,true,false,,,,,,./abis/uniswap_v2_router.json,BAT,WETH,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0xc02aaa39_0xeeeeeeee,true,false,,,,,,./abis/uniswap_v2_router.json,WETH,ETH,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x6604d060B341af00C3d84938a51308fBC9eD397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0xa3bed4e1_0xeeeeeeee,true,false,,,,,,./abis/uniswap_v2_router.json,MTA,ETH,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
